name,prompt,negative_prompt
Realistic Model Preset,"best quality, masterpiece, (realistic, photo-realistic:1.37),ultra high res,highres,, illustration. media, delicate,8k wallpaper,soft light,official art,professional lighting, photon mapping, radiosity, physically-based rendering,1girl,","EasyNegative, paintings, sketches, ugly, 3d, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, manboobs, backlight,(ugly:1.3), (duplicate:1.3), (morbid:1.2), (mutilated:1.2), (tranny:1.3), mutated hands, (poorly drawn hands:1.3), blurry, (bad anatomy:1.2), (bad proportions:1.3), extra limbs, (disfigured:1.3), (more than 2 nipples:1.3), (more than 1 navel:1.3), (missing arms:1.3), (extra legs:1.3), (fused fingers:1.6), (too many fingers:1.6), (unclear eyes:1.3), bad hands, missing fingers, extra digit, (futa:1.1), bad body, double navel, mutad arms, hused arms, (puffy nipples, dark areolae, dark nipples, rei no himo, inverted nipples, long nipples), NG_DeepNegative_V1_75t, pubic hair, fat rolls, obese, bad-picture-chill-75v,(without clothes), EasyNegative, paintings, sketches, ugly, 3d, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, manboobs, backlight,(ugly:1.3), (duplicate:1.3), (morbid:1.2), (mutilated:1.2), (tranny:1.3), mutated hands, (poorly drawn hands:1.3), blurry, (bad anatomy:1.2), (bad proportions:1.3), extra limbs, (disfigured:1.3), (more than 2 nipples:1.3), (more than 1 navel:1.3), (missing arms:1.3), (extra legs:1.3), (fused fingers:1.6), (too many fingers:1.6), (unclear eyes:1.3), bad hands, missing fingers, extra digit, (futa:1.1), bad body, double navel, mutad arms, hused arms, (puffy nipples, dark areolae, dark nipples, rei no himo, inverted nipples, long nipples), NG_DeepNegative_V1_75t, pubic hair, fat rolls, obese, bad-picture-chill-75v,(without clothes)"
Realistic Model Starter,"best quality, masterpiece, (photorealistic:1),ultra high res,highres,, illustration. media, delicate,8k wallpaper,soft light,official art, (realistic:1.2),1girl,","EasyNegative, paintings, sketches, ugly, 3d, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, manboobs, backlight,(ugly:1.3), (duplicate:1.3), (morbid:1.2), (mutilated:1.2), (tranny:1.3), mutated hands, (poorly drawn hands:1.3), blurry, (bad anatomy:1.2), (bad proportions:1.3), extra limbs, (disfigured:1.3), (more than 2 nipples:1.3), (more than 1 navel:1.3), (missing arms:1.3), (extra legs:1.3), (fused fingers:1.6), (too many fingers:1.6), (unclear eyes:1.3), bad hands, missing fingers, extra digit, (futa:1.1), bad body, double navel, mutad arms, hused arms, (puffy nipples, dark areolae, dark nipples, rei no himo, inverted nipples, long nipples), NG_DeepNegative_V1_75t, pubic hair, fat rolls, obese, bad-picture-chill-75v,(without clothes)"
Realistic Negative Keywords ,,"(((blur))),(EasyNegative:1.2), ng_deepnegative_v1_75t, paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), bad anatomy,DeepNegative,(fat:1.2),facing away, looking away,tilted head,lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs"
Realistic Photo,"(8k, RAW photo, best quality, masterpiece, ultra highres, ultra detailed:1.2), (realistic, photo-realistic:)",
Realistic Photo Portraits,"RAW candid cinema, 16mm, color graded portra 400 film, remarkable color, ultra realistic, textured skin, remarkable detailed pupils, realistic dull skin noise, visible skin detail, skin fuzz, dry skin, shot with cinematic camera",
Realistic Shaded,"fine-face, realistic shaded perfect face, fine details. Night setting. Very anime style. Realistic shaded lighting poster by Ilya Kuvshinov katsuhiro, magali villeneuve, artgerm, Jeremy Lipkin and Michael Garmash, Rob Rey and Kentarõ Miura style, trendin",blurry
Render 3D,"highly detailed, CG render, octane, bokeh, 4k, 8k, 8mm, unreal engine 3d",
Reverse Prompt Words  ,,"(EasyNegative:1.2),badhandv4, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, (ugly:1.331), (duplicate:1.331), (morbid:1.21), (mutilated:1.21), (tranny:1.331), mutated hands, (poorly drawn hands:1.5), blurry, (bad anatomy:1.21), (bad proportions:1.331), extra limbs, (disfigured:1.331), (missing arms:1.331), (extra legs:1.331), (fused fingers:1.61051), (too many fingers:1.61051), (unclear eyes:1.331), lowers, bad hands, missing fingers, extra digit,bad hands, missing fingers, (((extra arms and legs))),lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, "
Robotize,"steampunk robot happy Funny cartoonish, by Gediminas Pranckevicius",
Rococo,"Rococo, {prompt}, flamboyant, pastel colors, curved lines, elaborate detail, Rococo","ugly, deformed, noisy, blurry, low contrast"
SAI-3d-model,"professional 3d model {prompt} . octane render, highly detailed, volumetric, dramatic lighting","ugly, deformed, noisy, low poly, blurry, painting"
SAI-analog film,"analog film photo {prompt} . faded film, desaturated, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured"
SAI-anime,"anime artwork {prompt} . anime style, key visual, vibrant, studio anime, highly detailed","photo, deformed, black and white, realism, disfigured, low contrast"
SAI-cinematic,"cinematic film still {prompt} . shallow depth of field, vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy","anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured"
SAI-comic book,"comic {prompt} . graphic illustration, comic art, graphic novel art, vibrant, highly detailed","photograph, deformed, glitch, noisy, realistic, stock photo"
SAI-craft clay,"play-doh style {prompt} . sculpture, clay art, centered composition, Claymation","sloppy, messy, grainy, highly detailed, ultra textured, photo"
SAI-digital art,"concept art {prompt} . digital artwork, illustrative, painterly, matte painting, highly detailed","photo, photorealistic, realism, ugly"
SAI-enhance,"breathtaking {prompt} . award-winning, professional, highly detailed","ugly, deformed, noisy, blurry, distorted, grainy"
SAI-fantasy art,"ethereal fantasy concept art of  {prompt} . magnificent, celestial, ethereal, painterly, epic, majestic, magical, fantasy art, cover art, dreamy","photographic, realistic, realism, 35mm film, dslr, cropped, frame, text, deformed, glitch, noise, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, sloppy, duplicate, mutated, black and white"
SAI-isometric,"isometric style {prompt} . vibrant, beautiful, crisp, detailed, ultra detailed, intricate","deformed, mutated, ugly, disfigured, blur, blurry, noise, noisy, realistic, photographic"
SAI-line art,"line art drawing {prompt} . professional, sleek, modern, minimalist, graphic, line art, vector graphics","anime, photorealistic, 35mm film, deformed, glitch, blurry, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, mutated, realism, realistic, impressionism, expressionism, oil, acrylic"
SAI-lowpoly,"low-poly style {prompt} . low-poly game art, polygon mesh, jagged, blocky, wireframe edges, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo"
SAI-neonpunk,"neonpunk style {prompt} . cyberpunk, vaporwave, neon, vibes, vibrant, stunningly beautiful, crisp, detailed, sleek, ultramodern, magenta highlights, dark purple shadows, high contrast, cinematic, ultra detailed, intricate, professional","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured"
SAI-origami,"origami style {prompt} . paper art, pleated paper, folded, origami art, pleats, cut and fold, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo"
SAI-photographic,"cinematic photo {prompt} . 35mm photograph, film, bokeh, professional, 4k, highly detailed","drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, soft, deformed, ugly"
SAI-pixel art,"pixel-art {prompt} . low-res, blocky, pixel art style, 8-bit graphics","sloppy, messy, blurry, noisy, highly detailed, ultra textured, photo, realistic"
SAI-texture,texture {prompt} top down close-up,"ugly, deformed, noisy, blurry"
Scene: Cyberpunk city street,"cyberpunk city street, centered, extreme vast long shot, surrounded by vast futuristic mega city, movie poster design, dramatic, flare, gradient, Comic Oil Paint, 16k, digital art, artstation, cinematic lighting, vivid",
Scene: Fantasy forest with pond,"fantasy pond, large forest, ethereal light, volumetric rays, caustics, epic scene, epic composition, Refined Details, 16k, digital art, artstation, cinematic lighting, vivid",
Scene: Mysterious Mountains,"fantasy mountains and forest, caustics, epic scene, epic composition, Refined Details, 16k, digital art, artstation, cinematic lighting, vivid",
Scene: Steampunk City Street view,"Steampunk city street, centered, extreme vast long shot, surrounded by vast futuristic mega city, movie poster design, dramatic, flare, gradient, Comic Oil Paint, 16k, digital art, artstation, cinematic lighting, vivid",
Scene: Steampunk City sky shot,"Steampunk city, centered, extreme vast long shot, surrounded by vast futuristic mega city, movie poster design, dramatic, flare, gradient, Comic Oil Paint, 16k, digital art, artstation, cinematic lighting, vivid",
Scene: fantasy movie poster,"in the center, extreme vast angled long shot, fantasy movie poster design, surrounded by vast fantasy forest and jagged mountains, dramatic, flare, gradient, 16k, digital art, trending artstation, cinematic lighting, vivid",
Scene: pulp sci-fi movie poster,"in the center surrounded by classic sci-fi aliens spaceships planets, Angled long shot, pulp sci-fi poster design, 16k, digital art, artstation, cinematic lighting, vivid, Comic Oil Paint",
Scene: sci-fi mega City movie poster,"in the center, extreme vast long shot, surrounded by vast futuristic mega city, classic sci-fi movie poster design, dramatic, flare, gradient, Comic Oil Paint, 16k, digital art, artstation, cinematic lighting, vivid",
Schematic,"23rd century scientific schematics, blueprint, hyperdetailed vector technical documents, callouts, legend, patent registry",
Shot Type: Drone Shot,Drone Shot,
Shot Type: Long Shot,Long Shot,
Shot Type: Macro Shot,Macro Shot,
Shot Type: Portrait,Portrait,
Shot Type: Short Shot,Short Shot,
Shot Type: Telephoto,Telephoto,
Silhouette Art,"Silhouette Art, {prompt}, high contrast, well defined, Silhouette Art","ugly, deformed, noisy, blurry, low contrast"
Simple Vector Art,"Simple Vector Art, {prompt}, 2D flat, simple shapes, minimalistic, professional graphic, flat color, high contrast, Simple Vector Art","ugly, deformed, noisy, blurry, low contrast, 3D, photo, realistic"
Sketchup,"Sketchup, {prompt}, CAD, professional design, Sketchup","ugly, deformed, noisy, blurry, low contrast, photo, photograph"
Skin Enhancer,"detailed skin texture, (blush:0.5), (goosebumps:0.5), subsurface scattering",
Skin Enhancer (clean),"detailed skin texture, (blush:0.2), (goosebumps:0.3), subsurface scattering",
Space Hologram,"hologram floating in space, a vibrant digital illustration, dribbble, quantum wavetracing, black background, behance hd",
Steampunk 2,"Steampunk, {prompt}, retrofuturistic science fantasy, steam-powered tech, vintage industry, gears, neo-victorian, steampunk","ugly, deformed, noisy, blurry, low contrast"
Sticker,"Sticker, Cute sticker, Kawaii sticker, die-cut, plain background, illustration minimalism, vector, pastel colors, kawaii",
Sticker Designs,"Vector Art Stickers, {prompt}, professional vector design, sticker designs, Sticker Sheet","ugly, deformed, noisy, blurry, low contrast"
Stronger Negative Tags,," EasyNegative, bad-artist-anime, bad-artist, bad-hands-5, bad-image-v2-39000, bad_prompt_version2"
Stuffed Plush,"kawaii plush toy, very cute, visible stitch line, soft lighting, vibrant, studio lighting, PBR, realistic texture, smooth",
Styel: Single Character/Avatar concept design,"isometric, isolated, ((full body)), single character avatar, design, concept, focused, long shot, centered, (anime Style), 16k, hyper detail, hyper refined details, digital art, artstation, cinematic lighting, vivid, clean lines, clean, clear",
Style: 16 bit Pixel Art,16 bit Pixel Art,
Style: 16k digital art cinematic lighting vivid,"16k, digital art, artstation, cinematic lighting, vivid",
Style: 1860s photo,"1860s photo, vignette, high detail, worn",
Style: 2D animation,2D animation,
Style: 32 bit Pixel Art,32 bit Pixel Art,
Style: 3D Model,3D Model,
Style: 3D Sculpting,3D Sculpting,
Style: 8 bit Pixel Art,8 bit Pixel Art,
Style: Acid etching,Acid etching,
Style: Algorithmic Art,Algorithmic Art,
Style: Animated Character,Animated Character,
Style: Animated Real Paint FX,Animated Real Paint FX,
Style: Beautiful peaceful Serene scenes,"hyper-realistic, serene, epic, sunset lighting, beautiful clouds, fantasy, Pixar style, focused, hyper detail, refined details, 16k, digital art, artstation, cinematic lighting, vivid",
Style: Biomechanical deformed architecture - twisted,"Bastien Lecouffe-Deharme,Paul Lehr, 8k, hyper detail, vivid, Biomechanical, HR giger inspired, organic, oily, bones, dark, scary",
Style: CGI,CGI,
Style: Chalk Drawing,Chalk Drawing,
Style: Charcoal,Charcoal,
Style: Colored Pencil,Colored Pencil,
Style: Coloring book image,"(black and white, high contrast, colorless, pencil drawing:1.6), (stained glass window style:0.5), centered, coloring book page with (margins:1.3)",
Style: Comic Oil Paint,Comic Oil Paint,
Style: Comic book page,"((anime, Brian K. Vaughan style)), comic book Page layout, overlapping multi-frame, dialog bubbles, intricate detail, modern, 16k, digital art, artstation, cinematic lighting, vivid",
Style: Concept,Concept,
Style: Digital Collage,Digital Collage,
Style: Digital Illustration,Digital Illustration,
Style: Extra colorful flare,"Josephine Wall, Wadim Kashin",
Style: Fantasy miniature anime child-like warrior V3,"long shot, centered, small ((little)) miniature ((dwarf)), (anime Style), fantasy, sci-fi, Pixar style, 16k, focused, hyper detail, hyper refined details, digital art, artstation, cinematic lighting, vivid",
Style: Fractal Art,Fractal Art,
Style: Glass Etching,Glass Etching,
Style: HR giger style,"Biomechanical, HR giger inspired, organic, oily, bones, dark, scary",
Style: High Tech Cybernetic,"cybernetic, translucent, transparent, high tech, futuristic, 8k, trending artstation, cinematic lighting",
Style: Iconic logo,"symbol, symbology, logo design concept, symmetrical, centered",
Style: Infographic design paper,"full page infographic design, black and white paper, intricate, highly detailed, epic",
Style: Integrated Art,Integrated Art,
Style: Isometric Cutaway box view,"(((isometric cutaway box))), cute, small, Pixar style, centered, isolated, unreal engine, intricate detail, 8k, hyper detailed, intricate refined details, digital illustrated art, trending artstation, cinematic lighting",
Style: Marble Relief,Marble relief,
Style: Matte Painting,Matte Painting,
Style: Mild colorful flare - synthwave style,synthwave,
Style: Mixed Media,Mixed Media,
Style: Nature photography,"8k, nature photograph, Canon EOS R3",
Style: Pastel,Pastel,
Style: Pencil Drawing,Pencil Drawing,
Style: Photobashing,Photobashing,
Style: Polaroid,Polaroid,
Style: Raster,Raster Painting,
Style: Sculpture,Sculpture,
Style: Statue,Statue,
Style: Sticker Art,"sticker art, icon Painting with a black background, casual game style, flat shading, minimalistic",
Style: Vector Art,Vector Art,
Style: White on black,White on black,
Style: Wood Relief,wood relief,
Style: dark grunge,dark grunge,
Style: detailed illustration with cinematic lighting,"8k, hyper detailed, intricate refined details, digital illustrated art, trending artstation, cinematic lighting",
Style: miniature diorama style,"miniature, ((diorama)), full shot, small, miniature, perfect, smooth, centered, straight lines, Pixar style, (isometric equilateral view), cinematic lighting, hyperdetail, hyperintricate, Canon 5D IV, wide shot",
Style: modern post impressionism,"Post impressionism, narrow long brush strokes, 8k, hyper detailed, intricate detail, refined details, illustrated, digital art, trending artstation, cinematic lighting",
Style: portrait photography,"Long shot, portrait photo, hyper realistic",
Suprematism,"Suprematism, {prompt}, abstract, limited color palette, geometric forms, Suprematism","ugly, deformed, noisy, blurry, low contrast, realistic"
Surrealism,"Surrealism, {prompt}, expressive, dramatic, organic lines and forms, dreamlike and mysterious, Surrealism","ugly, deformed, noisy, blurry, low contrast, realistic"
THEME ATOMPUNK,"ATOMPUNK, Atomic age, retro-futuristic, nuclear, sleek, streamlined, Cold War, science fiction, space exploration, energy, optimism, industrial, vintage, futuristic, advanced technology, post-World War II",
THEME BADLANDS,"Desolation, barren landscape, crumbling cities, toxic skies, abandoned structures, survival, scavenging, post-apocalyptic, ruins, scarcity, chaos, nomadic tribes, mutated creatures, harsh conditions, Mad Max aesthetic",
THEME BATHROOM,"Bathroom, Sink, mirror, toilet, shower, bathtub, towels, soap, toothbrush, toothpaste, shampoo, conditioner, bathrobe, shower curtain, toilet paper, bath mat, scales, hairdryer, toiletries, medicine cabinet, bath toys,",
THEME BEACH,"Sun, sand, waves, surfers, beach umbrellas, swimsuits, seashells, palm trees, beach towels, sunscreen, sandcastles, bikinis, flip-flops, frisbees, beach balls, sunbathers, lifeguards, coastal breeze, beach chairs, seagulls",
THEME BEDROOM,"Bed, pillows, blankets, dresser, nightstand, lamps, curtains, carpet, mirror, wardrobe, clock, photos, books, bedding, window, furniture, posters, decorations, closet, cozy ambiance",
THEME BIRTHDAY,"BIRTHDAY, PARTY, elebration, cake, balloons, friends, laughter, gifts, music, joy, decorations, games, surprises, happiness, memories, cheers, candles, fun, treats, festivities, wishes, happiness.",
THEME CASINO,"CASINO, Slot machines, card tables, roulette wheels, poker chips, dealers, dice, neon lights, glamorous decor, cocktails, jackpots, excitement, bets, entertainment, casinos games, floor shows, luck, anticipation, high stakes, winnings",
THEME CUTE,"CUTE, adorable, charming, delightful, sweet, endearing, lovable, winsome, precious, lovely, enchanting, cuddly, appealing, darling, attractive, appealing, dainty, captivating, charming, dear, lovely.",
THEME CYBERPUNK,"CYBERPUNK, Dystopian, futuristic, neon, hackers, cybernetics, technology, urban, rebellion, virtual reality, gritty, augmented reality, high-tech, dark, futuristic, digital, punk, cybercrime, innovative, chaotic, atmospheric",
THEME DIESELPUNK,"DIESELPUNK, Diesel-powered, interwar, retro-futuristic, industrial, gritty, machinery, vintage, Art Deco, alternate history, steam engines, war machines, sleek, futuristic, mechanical, aviation, post-apocalyptic, technology, dark aesthetic,",
THEME EMO ROOM,"EMO, Dark colors, band posters, fairy lights, black curtains, skulls, candles, vintage furniture, poetry books, vinyl records, emo artwork, plushies, dim lighting, depressive lyrics, framed photos, graffiti",
THEME GYM,"GYM, Weights, treadmills, exercise machines, mats, dumbbells, mirrors, fitness classes, gym bags, water bottles, towels, gym shoes, locker rooms, ellipticals, resistance bands, cardio, sweat",
THEME HALLOWEEN,"Pumpkin, Haunted, Costume, Ghost, Candy,Witch, Zombie, Skeleton, Eerie, Spooky, Bat, Mummy, Vampire, Cauldron, Werewolf, Cobweb, Graveyard, Jack-o'-lantern, Trick-or-treat, Full moon, Spooky, costumes, pumpkins, trick-or-treating, ghosts, haunted houses, candy, jack-o'-lanterns, witches, skeletons, cobwebs, eerie, frightful, supernatural, decorations, black cats, ghouls, scare, creepy, masquerade, festivities",
THEME LOVE ROOM,"LOVE HOTEL, Privacy, themed rooms, heart-shaped beds, romantic ambiance, dim lighting, jacuzzi, discreet, intimate, fantasy, mirrors, sensual decor, adult entertainment, luxurious, romance, allure, seclusion",
THEME LUXURY HOTEL ROOM,"LUXURY HOTEL, Plush bedding, elegant decor, spacious layout, exquisite furnishings, panoramic views, fine linens, opulent amenities, gourmet minibar, spa-like bathroom, personalized service, high-end toiletries, sleek technology",
THEME MONSTER,"MONSTER, terrifying, colossal, ominous, grotesque, formidable, eerie, fearsome, ghastly, grotesque, nightmarish, malevolent, dreadful, beastly, sinister, horrific, formidable, monstrous, formidable, petrifying, demonic,",
THEME MUSIC STUDIO,"MUSIC STUDIO, Recording, mixing, soundproofing, equipment, producer, tracks, control room, instruments, editing, mastering, acoustics, creativity, monitors, microphones, software, vocals, live room, production, sessions, sound engineering,",
THEME PARK,"PARK, Trees, benches, grass, playground, pathways, flowers, picnic tables, wildlife, joggers, cyclists, fountain, birds, shade, tranquility, sunshine, families, laughter, relaxation, nature, open space",
THEME STEAMPUNK,"STEAMPUNK , Victorian, steam-powered, industrial, brass, gears, goggles, airships, retro-futuristic, clockwork, adventure, alternate history, machinery, aesthetic, invention, ornate, vintage, sci-fi, innovation, Victorian era-inspired, Victorian, steam-powered, gears, brass, clockwork, industrial, retro-futuristic, airships, top hats, corsets, adventure, alternative history, machinery, cogs, goggles, vintage, innovation.",
THEME TRADITIONAL,"TRADITIONAL, Conventional, classic, customary, time-honored, established, standard, typical, old-fashioned, orthodox, routine, habitual, usual, customary, regular, familiar, conservative, conventional, common, tried-and-true, standard,",
THEME VILLAGE,"VILLAGE, Rural, community, quaint, countryside, charming, tight-knit, simplicity, idyllic, peaceful, farms, small-town, cottages, scenic, close community, traditions, local, serene, pastoral, neighborly",
THEME WILDWEST,"WILDWEST, Frontier, saloons, cowboys, sheriffs, horses, gunfights, stagecoaches, gold rush, pioneers, ranches, Native Americans, outlaws, tumbleweeds, prairies, homesteads, ghost towns, lassos, spurs, whiskey, wide-open spaces",
Terragen,"Terragen, {prompt}, beautiful massive landscape, epic scenery, Terragen","ugly, deformed, noisy, blurry, low contrast"
Tokyo Background,"highly detailed matte painting of a suburban tokyo street with a bright shimmering sky by Studio Ghibli, Mokoto Shinkai, by Artgerm, by beeple, volumetric lighting, octane render, 4K resolution, trending on artstation, vivid colours",
"Tokyo Street Scene, JK, Posed, Realistic","(8k, RAW photo, best quality, masterpiece:1.3),(realistic,photo-realistic:1.37),(looking at viewer:1.331),posing,Tokyo street,1girl, ","EasyNegative, paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot,extra fingers,fewer fingers,lowres, bad anatomy,text,error, missing fngers,extra digt ,fewer digits,cropped, wort quality , jpeg artifacts,signature,watermark, username, blurry,(((Redundant limbs))),((nipples)),bare,((cleavage)),hands finger 5 finger hands kkkk,(((Redundant fingers))),(((freckle))),(((nevus))),(((nasolabial folds))),(((Decree pattern)))"
Toon Monster,"cartoon monster, cute, big eyes, big mouth, art by gediminas pranckevicius and Alexander Jansson, pixar, centered, dramatic lighting, glowing light, simple solid background, no background, detailed face, cinematic, illustration, no gradient, trending on a",
Tranquil Relaxing Atmosphere,"Tranquil Relaxing Atmosphere, {prompt}, calming style, soothing colors, peaceful, idealic, Tranquil Relaxing Atmosphere","ugly, deformed, noisy, blurry, low contrast, oversaturated"
Typography,"typography by kaws, studio ghibli by tim hildebrandt, michael whelan, background environment. sharpen. an intricate, elegant, highly detailed digital painting, concept art, smooth",
Ultra High Detail,"8k wallpaper,(best quality:1.12),(detailed:1.12),(intricate:1.12),(ultra-detailed:1.12),(highres:1.12)",
Vector Illustrations,"Vector art, Vivid colors, Clean lines, Sharp edges, Minimalist, Precise geometry, Simplistic, Smooth curves, Bold outlines, Crisp shapes, Flat colors, Illustration art piece, High contrast shadows, Technical illustration, Graphic design, Vector graphics, High contrast, Precision artwork, Linear compositions, Scalable artwork, Digital art",
Vibrant Rim Light,"Vibrant Rim Light, {prompt}, bright rim light, high contrast, bold edge light","ugly, deformed, noisy, blurry, low contrast"
Volumetric Lighting,"Volumetric Lighting, {prompt}, light depth, dramatic atmospheric lighting, Volumetric Lighting","ugly, deformed, noisy, blurry, low contrast"
Warm Scene,"unreal engine, warm indoor lighting, arts station, detailed digital painting, cinematic, character design by mark ryden and pixar and hayao miyazaki, unreal 5, daz, hyperrealistic, octane rendering",
Watercolor 2,"Watercolor style painting, {prompt}, visible paper texture, colorwash, watercolor","ugly, deformed, noisy, blurry, low contrast, photo, realistic"
Whimsical and Playful,"Whimsical and Playful, {prompt}, imaginative, fantastical, bight colors, stylized, happy, Whimsical and Playful","ugly, deformed, noisy, blurry, low contrast, drab, boring, moody"
Woolitize,"puppet,intricated wool material,elegant,highly detailed,patchwork,sewing thread,patches,fabric texture,knitting,badges,embroidery",needle
background ⬛,"((neutral black background)),{prompt}",
background ⬜,"((neutral white background)),{prompt}",
cinematic-diva,"UHD, 8K, ultra detailed, a cinematic photograph of {prompt}, beautiful lighting, great composition","ugly, deformed, noisy, blurry, NSFW"
cinematic_still,"cinematic still {prompt} . emotional, harmonious, vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy","anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured"
neutral background,"((neutral background)),{prompt}",
style: CAD design,"Floor plans CAD drawings, intricate detailed refined",
style: Epic badass,"Epic, badass, confident pose, greek mythology, intricate, headshot, highly detailed, digital painting, artstation, concept art, sharp focus, cinematic lighting, illustration, art by artgerm and greg rutkowski, alphonse mucha, cgsociety",
style: complex CAD design,"single page with margins, X-ray ((blueprint, schematic, internal structure, CAD design, concept drawing)), diagram, lines and notes",
style: intricate icon painting,"icon Painting with a black background, casual game style, flat shading, minimalistic",
stylename,positive,negative
✔️ NSFW,"NSFW, naked, vagina, boobs, breast, sensual, erotic, alluring, attractive, captivating, seductive, provocative, appealing, enticing, sultry, desirable, hot, irresistible, enchanting, arousing, tempting, revealing, sleek, daring, sophisticated, figure-hugging, eye-catching, attention-grabbing,.","clothed, covered, bra, shirt, dress, jacket, pants, shorts, swimsuit, lingerie (as clothing), bodysuit, armor, bikini, t-shirt, undershirt, scarf, hat, shoes, boots, corset, harness, robe, towel, cloak, hood, gloves, school uniform, office attire, apron, unnecessary censorship, censorship bar, pixelated, blurred chest, blurred genitals, no_nudity, safe_mode, sfw, toned_down, modest, hidden body, purity filter, covered nipples, covered breasts"
❌ NSFW ,,"(nsfw, nude, nudity,  breast, boobs, penis, vagina, cum, busty, sex, nude, uncensored, underwear, bra, bikini, sexually, horny, sexual:1.3), uncensored, dick, porn, adult, pornography, erotic, hentai, kink, fetish, ecchi, kinky, vulgar, lewds, erotica, porn, homoerotic, fap, sensual, revealing, "
